time	Va	d/dt
142200	-9,9221034666e-05	6,05306955151e-06
143100	-0,000560804547132	-7,6930585411e-06
144000	-0,00189413504187	-2,22221749123e-05
144900	-0,0018321419802	1,03321769455e-06
145800	-0,0016334452367	3,31161239166e-06
146700	-0,0021456895994	-8,53740604492e-06
147600	-0,00214373965987	3,2498992086e-08
148500	-0,00250502307498	-6,02139025191e-06
149400	-0,00302117702755	-8,60256587601e-06
150300	-0,00261203848365	6,81897573156e-06
151200	-0,00305308485891	-7,35077292105e-06
152100	-0,00302688913298	4,36595432165e-07
153000	-0,0030450545048	-3,02756196862e-07
153900	-0,00328283060394	-3,96293498567e-06
154800	-0,00336458922383	-1,36264366483e-06
155700	-0,00331141873258	8,86174854093e-07
156600	-0,00308605397627	3,75607927185e-06
157500	-0,00336404547382	-4,6331916259e-06
158400	-0,0031759919662	3,13422512707e-06
159300	-0,00305386461479	2,03545585681e-06
160200	-0,00247835148136	9,59188555718e-06
161100	-0,00251896298368	-6,76858372066e-07
162000	-0,00235254738249	2,7735933533e-06
162900	-0,00242471023188	-1,2027141566e-06
163800	-0,0023776174712	7,84879344647e-07
164700	-0,00214230038233	3,92195148127e-06
165600	-0,00209537081677	7,82159425867e-07
166500	-0,00210479443132	-1,57060242495e-07
167400	-0,00193643159041	2,80604734852e-06
168300	-0,00176217571566	2,90426457925e-06
169200	-0,00183566235012	-1,22477724101e-06
170100	-0,00182367948109	1,99714483797e-07
171000	-0,00154680928154	4,61450332584e-06
171900	-0,001549338944	-4,21610409302e-08
172800	-0,00152759272743	3,62436942706e-07
173700	-0,00132322194016	3,40617978789e-06
174600	-0,00144478661616	-2,02607793326e-06
175500	-0,00116840071855	4,60643162678e-06
176400	-0,0010176341746	2,51277573245e-06
177300	-0,00100435451801	2,21327609845e-07
178200	-0,000929947260598	1,24012095691e-06
179100	-0,00107793177081	-2,46640850362e-06
180000	-0,000903795645203	2,90226876019e-06
180900	-0,000767959960831	2,26392807286e-06
181800	-0,000745682918268	3,71284042714e-07
182700	-0,000744519843046	1,93845870384e-08
183600	-0,000763828283682	-3,21807343928e-07
184500	-0,000701536262913	1,03820034615e-06
185400	-0,000778578768815	-1,28404176504e-06
186300	-0,000641722601945	2,2809361145e-06
187200	-0,000692270404184	-8,42463370649e-07
188100	-0,000668294695283	3,99595148352e-07
189000	-0,000673262973057	-8,28046295639e-08
189900	-0,000654586096704	3,11281272536e-07
190800	-0,000653889359461	1,16122873827e-08
191700	-0,00073092454178	-1,28391970531e-06
192600	-0,000816337007941	-1,42354110268e-06
193500	-0,000726423762109	1,49855409721e-06
194400	-0,000778270598864	-8,64113945927e-07
195300	-0,000825892094356	-7,9369159153e-07
196200	-0,000899541512222	-1,22749029776e-06
197100	-0,000946046933941	-7,75090361994e-07
198000	-0,000981362364767	-5,88590513754e-07
198900	-0,00100867465053	-4,55204762713e-07
199800	-0,00104312099796	-5,74105790555e-07
200700	-0,00131645550805	-4,5555751682e-06
201600	-0,00178787045073	-7,8569157112e-06
202500	-0,00155524773313	3,87704529336e-06
203400	-0,00212288207158	-9,46057230763e-06
204300	-0,00224698175335	-2,06832802953e-06
205200	-0,00287755699595	-1,05095873766e-05
206100	-0,00285940837505	3,0247701511e-07
207000	-0,0016250547991	2,05725595991e-05
207900	-0,00166869498674	-7,27336460606e-07
208800	5,54607266538e-05	2,87359285565e-05
209700	0,00147369369257	2,36372160986e-05
210600	1,16320536749e-05	-2,43676939816e-05
211500	0,00303161485156	5,03330466315e-05
212400	0,000603476940213	-4,04689651892e-05
213300	0,00288859552673	3,80853097753e-05
214200	0,0044157513561	2,54525971562e-05
215100	0,00141414657245	-5,00267463942e-05
216000	0,00346984801406	3,42616906934e-05
216900	0,00512628882606	2,76073468667e-05
217800	0,00122345617195	-6,50472109019e-05
218700	0,00308947410746	3,11002989253e-05
219600	0,00587678321626	4,64551518132e-05
220500	0,00744160607878	2,60803810421e-05
221400	0,00843238385757	1,65129629797e-05
222300	0,00143668298687	-0,000116595014512
223200	-0,00154398147615	-4,96777410504e-05
224100	0,000860398003392	4,00729913257e-05
225000	0,0010872870229	3,78148365839e-06
225900	0,000169835480287	-1,52908590435e-05
226800	-0,00177382546563	-3,23943490986e-05
227700	-0,00104322289082	1,21767095801e-05
228600	-0,00125253083317	-3,48846570579e-06
229500	-0,00199565714341	-1,23854385041e-05
230400	-0,00265592958682	-1,10045407234e-05
231300	-0,00213745587765	8,64122848615e-06
232200	-0,00249725024616	-5,99657280851e-06
233100	-0,00279182969912	-4,9096575493e-06
234000	-0,00235251037304	7,32198876788e-06
234900	-0,00273127606451	-6,3127615244e-06
235800	-0,00293401640015	-3,37900559409e-06
236700	-0,00267251892471	4,35829125737e-06
237600	-0,00262757025445	7,49144504421e-07
238500	-0,00277646382383	-2,48155948968e-06
239400	-0,00306005497102	-4,72651911998e-06
240300	-0,00327526993376	-3,58691604551e-06
241200	-0,00335319231352	-1,29870632936e-06
242100	-0,00323415444514	1,98396447302e-06
243000	-0,00338815892112	-2,56674126646e-06
243900	-0,00390036946957	-8,53684247408e-06
244800	-0,00368777922858	3,54317068319e-06
245700	-0,00331425553587	6,22539487848e-06
246600	-0,0027453308479	9,48207813286e-06
247500	-0,00289727844079	-2,53245988149e-06
248400	-0,0029316150665	-5,72277095197e-07
249300	-0,00277136563808	2,67082380692e-06
250200	-0,00267214905172	1,65360977267e-06
251100	-0,00230696054256	6,08647515266e-06
252000	-0,00204895820447	4,30003896816e-06
252900	-0,00204703751561	3,20114809637e-08
253800	-0,00216925408586	-2,0369428374e-06
254700	-0,00217396828162	-7,85699293509e-08
255600	-0,00191517574062	4,31320901664e-06
256500	-0,00167258347444	4,04320443636e-06
257400	-0,00166588116143	1,1170521686e-07
258300	-0,0015809058716	1,41625483045e-06
259200	-0,00147249655161	1,80682199983e-06
260100	-0,00129264491263	2,99752731642e-06
261000	-0,00135868234178	-1,10062381922e-06
261900	-0,00133903068324	3,27527642361e-07
262800	-0,00095789267613	6,35230011846e-06
263700	-0,00105723444728	-1,65569618577e-06
264600	-0,000932891710981	2,07237893824e-06
265500	-0,0009725426178	-6,60848446971e-07
266400	-0,000861787094368	1,84592539053e-06
267300	-0,000774121671119	1,46109038748e-06
